OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-124302,O,US,NY,NEW YORK,40.767325,-73.883342,40 46 02.37N,073 53 00.03W,POLE,1,31,51,N,4.0,D,N,2018AEA03498OE C,20,18150
36-025652,O,US,NY,NEW YORK,40.767422,-73.986353,40 46 02.72N,073 59 10.87W,BLDG,1,174,253,N,5.0,D,N,2012AEA01780OE A,20,12129
36-000355,O,US,NY,NEW YORK,40.767778,-73.950833,40 46 04.00N,073 57 03.00W,STACK,1,506,515,R,3.0,C,M,1965AEA00203OE C,20,14152
36-022772,O,US,NY,NEW YORK,40.768314,-73.884822,40 46 05.93N,073 53 05.36W,NAVAID,1,8,27,U,1.0,A,U,A,20,11035
36-002336,U,US,NY,NEW YORK,40.768333,-73.983611,40 46 06.00N,073 59 01.00W,BLDG,1,750,831,U,4.0,D,U,2002AEA01654OE C,20,14124
36-006172,U,US,NY,NEW YORK,40.768333,-73.992778,40 46 06.00N,073 59 34.00W,TOWER,1,100,130,U,,,U,A,19,76150
36-022773,O,US,NY,NEW YORK,40.768586,-73.885772,40 46 06.91N,073 53 08.78W,NAVAID,1,25,44,R,1.0,A,U,C,20,13247
36-022790,O,US,NY,NEW YORK,40.768606,-73.881592,40 46 06.98N,073 52 53.73W,POLE,1,33,53,U,1.0,A,U,A,20,11035
36-151531,U,US,NY,NEW YORK,40.7691,-73.8703,40 46 08.76N,073 52 13.08W,BLDG,1,82,140,N,4.0,D,N,2019AEA05212OE C,20,24143
36-206565,O,US,NY,NEW YORK,40.769167,-73.9825,40 46 09.00N,073 58 57.00W,BLDG,1,340,420,R,4.0,D,N,2020AEA11795OE A,20,23032
36-022789,O,US,NY,NEW YORK,40.769169,-73.879536,40 46 09.01N,073 52 46.33W,BLDG,1,97,120,U,1.0,A,U,A,20,11035
36-022788,O,US,NY,NEW YORK,40.769175,-73.867706,40 46 09.03N,073 52 03.74W,BLDG,1,140,158,U,1.0,A,U,A,20,11035
36-022770,O,US,NY,NEW YORK,40.7694,-73.885356,40 46 09.84N,073 53 07.28W,FENCE,1,14,31,U,1.0,A,U,A,20,11035
36-022791,O,US,NY,NEW YORK,40.770033,-73.860886,40 46 12.12N,073 51 39.19W,BLDG,1,80,81,U,1.0,A,U,A,20,11035
36-025743,O,US,NY,NEW YORK,40.770169,-73.988572,40 46 12.61N,073 59 18.86W,BLDG,1,156,228,N,2.0,C,N,2012AEA02994OE A,20,12230
36-129675,O,US,NY,NEW YORK,40.770244,-73.982417,40 46 12.88N,073 58 56.70W,BLDG,1,391,473,N,4.0,D,N,2017AEA06412OE A,20,17363
36-030252,O,US,NY,NEW YORK,40.770653,-73.992897,40 46 14.35N,073 59 34.43W,BLDG,1,450,470,R,4.0,D,N,2014AEA06753OE C,20,17173
36-022767,O,US,NY,NEW YORK,40.770667,-73.858064,40 46 14.40N,073 51 29.03W,POLE,1,34,35,U,1.0,A,U,A,20,11035
36-022759,O,US,NY,NEW YORK,40.770739,-73.8574,40 46 14.66N,073 51 26.64W,FENCE,1,21,22,U,1.0,A,U,A,20,11035
36-022761,O,US,NY,NEW YORK,40.771067,-73.857822,40 46 15.84N,073 51 28.16W,BLDG,1,16,17,U,1.0,A,U,A,20,11035
36-022763,O,US,NY,NEW YORK,40.771497,-73.855911,40 46 17.39N,073 51 21.28W,NAVAID,1,18,19,R,1.0,A,U,C,20,13178
36-022768,O,US,NY,NEW YORK,40.771794,-73.908242,40 46 18.46N,073 54 29.67W,BLDG,1,109,166,U,1.0,A,U,A,20,11035
36-022765,O,US,NY,NEW YORK,40.771969,-73.867781,40 46 19.09N,073 52 04.01W,TOWER,1,148,155,U,1.0,A,U,A,20,11035
36-022757,O,US,NY,NEW YORK,40.772092,-73.882769,40 46 19.53N,073 52 57.97W,TOWER,1,37,42,U,1.0,A,U,A,20,11035
36-030222,O,US,NY,NEW YORK,40.772242,-73.991083,40 46 20.07N,073 59 27.90W,BLDG,1,535,558,R,4.0,D,N,2016AEA05857OE A,20,17124
36-022766,O,US,NY,NEW YORK,40.772347,-73.884958,40 46 20.45N,073 53 05.85W,POLE,1,59,63,U,1.0,A,U,A,20,11035
36-022762,O,US,NY,NEW YORK,40.772583,-73.855833,40 46 21.30N,073 51 21.00W,FENCE,1,12,17,R,1.0,A,N,C,20,13259
36-022760,O,US,NY,NEW YORK,40.772644,-73.856222,40 46 21.52N,073 51 22.40W,FENCE,1,20,21,U,1.0,A,U,A,20,11035
36-022755,O,US,NY,NEW YORK,40.772658,-73.886281,40 46 21.57N,073 53 10.61W,BLDG,1,81,84,U,1.0,A,U,A,20,11035
36-221934,U,US,NY,NEW YORK,40.772661,-73.832992,40 46 21.58N,073 49 58.77W,BLDG,1,88,100,N,4.0,D,N,2021AEA15738OE A,20,23177
36-197358,O,US,NY,NEW YORK,40.772844,-73.979892,40 46 22.24N,073 58 47.61W,BLDG,1,795,875,R,4.0,D,N,2019AEA01871OE C,20,24134
36-022748,O,US,NY,NEW YORK,40.773022,-73.857189,40 46 22.88N,073 51 25.88W,FENCE,1,19,20,U,1.0,A,U,A,20,11035
36-020726,O,US,NY,NEW YORK,40.773389,-73.873608,40 46 24.20N,073 52 24.99W,CTRL TWR,1,229,240,U,1.0,A,U,C,20,10113
36-022753,O,US,NY,NEW YORK,40.773414,-73.877383,40 46 24.29N,073 52 38.58W,BLDG,1,70,85,U,1.0,A,U,A,20,11035
36-022749,O,US,NY,NEW YORK,40.773906,-73.859156,40 46 26.06N,073 51 32.96W,GEN UTIL,1,12,13,U,1.0,A,U,A,20,11035
36-001905,U,US,NY,NEW YORK,40.774167,-73.989444,40 46 27.00N,073 59 22.00W,BLDG,1,435,470,U,4.0,D,N,1990AEA01513OE C,20,14124
36-022747,O,US,NY,NEW YORK,40.774403,-73.8818,40 46 27.85N,073 52 54.48W,POLE,1,20,30,U,1.0,A,U,A,20,11035
36-022750,O,US,NY,NEW YORK,40.774817,-73.861161,40 46 29.34N,073 51 40.18W,POLE,1,23,24,U,1.0,A,U,A,20,11035
36-022752,O,US,NY,NEW YORK,40.775331,-73.868981,40 46 31.19N,073 52 08.33W,BLDG,1,56,61,U,1.0,A,U,A,20,11035
36-020805,O,US,NY,NEW YORK,40.775417,-73.984572,40 46 31.50N,073 59 04.46W,BLDG,1,487,557,R,5.0,D,N,2010AEA03727OE A,20,12075
36-022756,O,US,NY,NEW YORK,40.776281,-73.9138,40 46 34.61N,073 54 49.68W,T-L TWR,1,127,176,U,1.0,A,U,A,20,11035
36-001311,O,US,NY,NEW YORK,40.776389,-73.947222,40 46 35.00N,073 56 50.00W,BLDG,1,405,444,R,3.0,C,N,1987AEA00748OE C,20,14152
36-022751,O,US,NY,NEW YORK,40.776569,-73.874922,40 46 35.65N,073 52 29.72W,BLDG,1,52,61,U,1.0,A,U,A,20,11035
36-025428,O,US,NY,NEW YORK,40.776858,-73.977856,40 46 36.69N,073 58 40.28W,BLDG,1,193,281,N,1.0,A,N,2011AEA01093OE A,20,11223
36-001863,O,US,NY,NEW YORK,40.7775,-73.955556,40 46 39.00N,073 57 20.00W,BLDG,1,256,337,N,5.0,D,N,1994AEA00414OE C,20,14152
36-022728,O,US,NY,NEW YORK,40.777542,-73.866394,40 46 39.15N,073 51 59.02W,FENCE,1,19,20,U,1.0,A,U,A,20,11035
36-139953,U,US,NY,NEW YORK,40.778175,-73.902142,40 46 41.43N,073 54 07.71W,POLE,1,29,47,N,4.0,D,N,2018AEA05402OE A,20,18254
36-022729,O,US,NY,NEW YORK,40.779319,-73.870422,40 46 45.55N,073 52 13.52W,NAVAID,1,19,20,U,1.0,A,U,A,20,11035
36-022730,O,US,NY,NEW YORK,40.779358,-73.870539,40 46 45.69N,073 52 13.94W,NAVAID,1,26,27,U,1.0,A,U,A,20,11035
36-206830,U,US,NY,LONG ISLAND CITY,40.779747,-73.90105,40 46 47.09N,073 54 03.78W,BLDG,1,139,148,N,4.0,D,N,2021AEA00330OE A,20,22323
36-150467,O,US,NY,NEW YORK,40.780025,-73.953489,40 46 48.09N,073 57 12.56W,BLDG,1,523,605,R,4.0,D,N,2018AEA02796OE A,20,18354
36-206836,U,US,NY,LONG ISLAND CITY,40.780044,-73.900689,40 46 48.16N,073 54 02.48W,BLDG,1,150,159,N,4.0,D,N,2021AEA00336OE C,20,24263
36-206831,U,US,NY,LONG ISLAND CITY,40.780289,-73.901817,40 46 49.04N,073 54 06.54W,BLDG,1,138,148,N,4.0,D,N,2021AEA00331OE A,20,22323
36-022724,O,US,NY,NEW YORK,40.780372,-73.872794,40 46 49.34N,073 52 22.06W,POLE,1,25,26,U,1.0,A,U,A,20,11035
36-022754,O,US,NY,NEW YORK,40.780492,-73.879119,40 46 49.77N,073 52 44.83W,POLE,1,32,34,U,1.0,A,U,A,20,11035
36-022732,O,US,NY,NEW YORK,40.780958,-73.872017,40 46 51.45N,073 52 19.26W,POLE,1,27,28,U,1.0,A,U,A,20,11035
36-022725,O,US,NY,NEW YORK,40.7814,-73.875233,40 46 53.04N,073 52 30.84W,TOWER,1,53,53,U,1.0,A,U,A,20,11035
36-022723,O,US,NY,NEW YORK,40.781511,-73.875067,40 46 53.44N,073 52 30.24W,BLDG,1,25,25,U,1.0,A,U,A,20,11035
36-000784,O,US,NY,NEW YORK,40.781944,-73.944444,40 46 55.00N,073 56 40.00W,BLDG,1,232,239,U,3.0,C,N,C,20,14152
36-000787,O,US,NY,NEW YORK,40.781944,-73.945556,40 46 55.00N,073 56 44.00W,BLDG,1,336,349,U,3.0,C,N,C,20,14152
36-001841,U,US,NY,NEW YORK,40.7825,-73.952222,40 46 57.00N,073 57 08.00W,BLDG-TWR,1,210,290,N,4.0,D,N,1996AEA01254OE C,20,14124
36-022722,O,US,NY,NEW YORK,40.782708,-73.871861,40 46 57.75N,073 52 18.70W,TOWER,1,54,55,U,1.0,A,U,A,20,11035
36-171563,O,US,NY,NEW YORK,40.783444,-73.981389,40 47 00.40N,073 58 53.00W,BLDG,1,234,313,R,4.0,D,N,2019AEA00762OE A,20,20343
36-022739,O,US,NY,NEW YORK,40.783717,-73.8686,40 47 01.38N,073 52 06.96W,NAVAID,1,41,41,U,1.0,A,U,A,20,11035
36-173313,O,US,NY,NEW YORK,40.785733,-73.969764,40 47 08.64N,073 58 11.15W,BLDG,1,260,371,N,2.0,C,N,2020AEA11871OE A,20,21057
36-022293,O,US,NY,NEW YORK,40.785819,-73.114047,40 47 08.95N,073 06 50.57W,POLE,1,35,116,U,1.0,A,U,A,20,11033
36-022734,O,US,NY,NEW YORK,40.786667,-73.883264,40 47 12.00N,073 52 59.75W,FENCE,1,14,25,U,1.0,A,U,A,20,11035
36-022733,O,US,NY,NEW YORK,40.7868,-73.882733,40 47 12.48N,073 52 57.84W,POLE,1,25,40,U,1.0,A,U,A,20,11035
36-227286,U,US,NY,NEW YORK,40.786944,-73.900639,40 47 13.00N,073 54 02.30W,POWER PLANT,1,87,102,N,4.0,D,N,2022AEA18583OE A,20,24249
36-022740,O,US,NY,NEW YORK,40.787156,-73.872919,40 47 13.76N,073 52 22.51W,POLE,1,34,61,U,1.0,A,U,A,20,11035
36-022726,O,US,NY,NEW YORK,40.787353,-73.868008,40 47 14.47N,073 52 04.83W,BLDG,1,25,26,U,1.0,A,U,A,20,11035
36-022292,O,US,NY,NEW YORK,40.787575,-73.113842,40 47 15.27N,073 06 49.83W,NAVAID,1,9,92,U,1.0,A,U,A,20,11033
36-022741,O,US,NY,NEW YORK,40.787725,-73.872197,40 47 15.81N,073 52 19.91W,POLE,1,34,63,U,1.0,A,U,A,20,11035
36-022742,O,US,NY,NEW YORK,40.788086,-73.872261,40 47 17.11N,073 52 20.14W,POLE,1,37,70,U,1.0,A,U,A,20,11035
36-022291,O,US,NY,NEW YORK,40.788317,-73.092544,40 47 17.94N,073 05 33.16W,POLE,1,31,101,U,2.0,C,U,A,20,11033
36-022280,O,US,NY,NEW YORK,40.788381,-73.116136,40 47 18.17N,073 06 58.09W,POLE,1,38,120,U,1.0,A,U,A,20,11033
36-022737,O,US,NY,NEW YORK,40.78845,-73.887214,40 47 18.42N,073 53 13.97W,POLE,1,48,67,U,1.0,A,U,A,20,11035
36-022743,O,US,NY,NEW YORK,40.788642,-73.872472,40 47 19.11N,073 52 20.90W,BLDG,1,46,84,U,1.0,A,U,A,20,11035
36-020859,O,US,NY,NEW YORK,40.788878,-73.954747,40 47 19.96N,073 57 17.09W,BLDG,1,204,272,N,2.0,C,N,2010AEA03122OE A,20,11080
36-022282,O,US,NY,NEW YORK,40.789125,-73.093817,40 47 20.85N,073 05 37.74W,POLE,1,71,144,U,2.0,C,U,A,20,11033
36-022281,O,US,NY,NEW YORK,40.789358,-73.094122,40 47 21.69N,073 05 38.84W,POLE,1,70,144,U,2.0,C,U,A,20,11033
36-022263,O,US,NY,NEW YORK,40.789733,-73.094619,40 47 23.04N,073 05 40.63W,POLE,1,68,144,U,2.0,C,U,A,20,11033
36-022258,O,US,NY,NEW YORK,40.790003,-73.094967,40 47 24.01N,073 05 41.88W,POLE,1,70,147,U,2.0,C,U,A,20,11033
36-022277,O,US,NY,NEW YORK,40.790106,-73.096869,40 47 24.38N,073 05 48.73W,POLE,1,64,143,U,2.0,C,U,A,20,11033
36-022256,O,US,NY,NEW YORK,40.790175,-73.095181,40 47 24.63N,073 05 42.65W,POLE,1,66,143,U,1.0,A,U,A,20,11033
36-022264,O,US,NY,NEW YORK,40.790236,-73.095283,40 47 24.85N,073 05 43.02W,POLE,1,65,143,U,2.0,C,U,A,20,11033
36-022744,O,US,NY,NEW YORK,40.790456,-73.8744,40 47 25.64N,073 52 27.84W,BLDG,1,74,133,U,1.0,A,U,A,20,11035
36-151484,O,US,NY,NEW YORK,40.79115,-73.948486,40 47 28.14N,073 56 54.55W,BLDG,1,252,267,R,1.0,A,N,2017AEA13116OE A,20,19179
36-022209,O,US,NY,NEW YORK,40.791314,-73.110969,40 47 28.73N,073 06 39.49W,TOWER,1,33,121,U,1.0,A,U,A,20,11033
36-025655,O,US,NY,NEW YORK,40.793106,-73.972578,40 47 35.18N,073 58 21.28W,BLDG,1,191,280,N,5.0,D,N,2012AEA01782OE A,20,12131
36-022210,O,US,NY,NEW YORK,40.793197,-73.111581,40 47 35.51N,073 06 41.69W,POLE,1,27,117,U,1.0,A,U,A,20,11033
36-022234,O,US,NY,NEW YORK,40.793778,-73.0857,40 47 37.60N,073 05 08.52W,POLE,1,46,133,U,1.0,A,U,A,20,11033
36-022219,O,US,NY,NEW YORK,40.793956,-73.100133,40 47 38.24N,073 06 00.48W,TOWER,1,34,116,U,1.0,A,U,A,20,11033
36-025429,O,US,NY,NEW YORK,40.794603,-73.934811,40 47 40.57N,073 56 05.32W,BLDG,1,77,87,N,5.0,D,N,2011AEA00201OE A,20,11223
36-197571,O,US,NY,NEW YORK,40.796058,-73.946003,40 47 45.81N,073 56 45.61W,BLDG,1,155,176,N,1.0,A,N,2022AEA02237OE C,20,22350
36-020758,O,US,NY,NEW YORK,40.796183,-73.962989,40 47 46.26N,073 57 46.76W,BLDG,1,99,200,N,2.0,C,N,2010AEA01746OE A,20,10182
36-197999,O,US,NY,NEW YORK,40.797144,-73.94635,40 47 49.72N,073 56 46.86W,BLDG,1,417,436,R,4.0,D,N,2022AEA00163OE C,20,24075
36-002313,O,US,NY,NEW YORK,40.798667,-73.909142,40 47 55.20N,073 54 32.91W,STACK,1,107,120,R,5.0,D,M,2002AEA01372OE C,20,6177
36-002314,O,US,NY,NEW YORK,40.798847,-73.908958,40 47 55.85N,073 54 32.25W,STACK,1,107,120,R,5.0,D,M,2002AEA01373OE C,20,6177
36-022238,O,US,NY,NEW YORK,40.799311,-73.101725,40 47 57.52N,073 06 06.21W,POLE,1,27,114,U,2.0,C,U,A,20,11033
36-022207,O,US,NY,NEW YORK,40.800603,-73.097978,40 48 02.17N,073 05 52.72W,TOWER,1,28,118,U,1.0,A,U,A,20,11033
36-022226,O,US,NY,NEW YORK,40.801186,-73.108772,40 48 04.27N,073 06 31.58W,BLDG,1,61,158,U,1.0,A,U,A,20,11033
36-022236,O,US,NY,NEW YORK,40.801378,-73.112594,40 48 04.96N,073 06 45.34W,TANK,1,57,157,U,2.0,C,U,A,20,11033
36-024701,O,US,NY,NEW YORK,40.8022,-73.944906,40 48 07.92N,073 56 41.66W,BLDG,1,80,116,N,5.0,D,N,2010ASW05032OE A,20,11192
36-022204,O,US,NY,NEW YORK,40.802464,-73.110694,40 48 08.87N,073 06 38.50W,POLE,1,40,140,U,2.0,C,U,A,20,11033
36-022199,O,US,NY,NEW YORK,40.802606,-73.110406,40 48 09.38N,073 06 37.46W,POLE,1,32,132,U,2.0,C,U,A,20,11033
36-022196,O,US,NY,NEW YORK,40.802633,-73.109144,40 48 09.48N,073 06 32.92W,POLE,1,11,111,U,1.0,A,U,A,20,11033
36-022200,O,US,NY,NEW YORK,40.802803,-73.110675,40 48 10.09N,073 06 38.43W,POLE,1,37,137,U,2.0,C,U,A,20,11033
36-022188,O,US,NY,NEW YORK,40.803289,-73.110992,40 48 11.84N,073 06 39.57W,POLE,1,26,127,U,2.0,C,U,A,20,11033
36-022146,O,US,NY,NEW YORK,40.803297,-73.093158,40 48 11.87N,073 05 35.37W,NAVAID,1,6,104,U,1.0,A,U,A,20,11033
36-022738,O,US,NY,NEW YORK,40.804767,-73.915725,40 48 17.16N,073 54 56.61W,BLDG,1,199,248,U,1.0,A,U,A,20,11035
36-022127,O,US,NY,NEW YORK,40.80585,-73.110019,40 48 21.06N,073 06 36.07W,POLE,1,41,146,U,2.0,C,U,A,20,11033
36-022126,O,US,NY,NEW YORK,40.80585,-73.110503,40 48 21.06N,073 06 37.81W,POLE,1,41,146,U,2.0,C,U,A,20,11033
36-022128,O,US,NY,NEW YORK,40.806125,-73.109989,40 48 22.05N,073 06 35.96W,POLE,1,41,147,U,2.0,C,U,A,20,11033
36-022090,O,US,NY,NEW YORK,40.806453,-73.095511,40 48 23.23N,073 05 43.84W,TOWER,1,106,211,U,1.0,A,U,A,20,11033
36-225732,O,US,NY,NEW YORK,40.806642,-73.941542,40 48 23.91N,073 56 29.55W,BLDG,1,280,303,R,1.0,A,N,2022AEA17962OE A,20,24078
36-178832,O,US,NY,NEW YORK,40.807183,-73.930336,40 48 25.86N,073 55 49.21W,BLDG,1,309,316,R,2.0,C,N,2020AEA05446OE C,20,23044
36-022094,O,US,NY,NEW YORK,40.807325,-73.112419,40 48 26.37N,073 06 44.71W,POLE,1,39,145,U,2.0,C,U,A,20,11033
36-178831,O,US,NY,NEW YORK,40.807489,-73.930803,40 48 26.96N,073 55 50.89W,BLDG,1,309,316,R,2.0,C,N,2020AEA05428OE C,20,23044
36-178830,O,US,NY,NEW YORK,40.807617,-73.930067,40 48 27.42N,073 55 48.24W,BLDG,1,309,316,R,2.0,C,N,2020AEA05403OE C,20,23044
36-178829,O,US,NY,NEW YORK,40.807872,-73.930675,40 48 28.34N,073 55 50.43W,BLDG,1,309,316,R,2.0,C,N,2020AEA05385OE C,20,23044
36-197600,O,US,NY,NEW YORK,40.808292,-73.931669,40 48 29.85N,073 55 54.01W,POLE,1,293,305,R,4.0,D,N,2020AEA05346OE A,20,22234
36-197599,O,US,NY,NEW YORK,40.808725,-73.931894,40 48 31.41N,073 55 54.82W,POLE,1,210,222,N,4.0,D,N,2020AEA05345OE A,20,22234
36-197598,O,US,NY,NEW YORK,40.808992,-73.932203,40 48 32.37N,073 55 55.93W,POLE,1,295,307,R,4.0,D,N,2020AEA05344OE A,20,22234
36-022051,O,US,NY,NEW YORK,40.809192,-73.091158,40 48 33.09N,073 05 28.17W,POLE,1,65,175,U,1.0,A,U,A,20,11033
36-213473,O,US,NY,NEW YORK,40.809403,-73.929786,40 48 33.85N,073 55 47.23W,BLDG,1,266,275,R,1.0,A,N,2022AEA00972OE A,20,23079
36-124140,O,US,NY,NEW YORK,40.811528,-73.959611,40 48 41.50N,073 57 34.60W,BLDG,1,392,494,R,4.0,D,N,2017AEA07906OE C,20,19044
36-197371,O,US,NY,NEW YORK,40.811681,-73.962017,40 48 42.05N,073 57 43.26W,BLDG,1,496,611,R,1.0,A,N,2020AEA06315OE C,20,23242
36-022039,O,US,NY,NEW YORK,40.812331,-73.082361,40 48 44.39N,073 04 56.50W,POLE,1,101,219,U,1.0,A,U,A,20,11033
36-160094,U,US,NY,NEW YORK,40.813319,-73.756444,40 48 47.95N,073 45 23.20W,POLE,1,100,148,N,4.0,D,N,2018AEA08811OE A,20,20115
36-160096,U,US,NY,NEW YORK,40.813392,-73.755667,40 48 48.21N,073 45 20.40W,POLE,1,80,125,N,4.0,D,N,2018AEA08813OE A,20,20115
36-160092,U,US,NY,NEW YORK,40.813522,-73.75685,40 48 48.68N,073 45 24.66W,POLE,1,100,146,N,4.0,D,N,2018AEA08809OE A,20,20115
36-160098,U,US,NY,NEW YORK,40.813728,-73.755425,40 48 49.42N,073 45 19.53W,POLE,1,80,126,N,4.0,D,N,2018AEA08815OE A,20,20115
36-022043,O,US,NY,NEW YORK,40.813756,-73.129717,40 48 49.52N,073 07 46.98W,T-L TWR,1,131,263,U,1.0,A,U,A,20,11033
36-022042,O,US,NY,NEW YORK,40.813944,-73.127131,40 48 50.20N,073 07 37.67W,T-L TWR,1,128,260,U,1.0,A,U,A,20,11033
36-160091,U,US,NY,NEW YORK,40.814047,-73.75685,40 48 50.57N,073 45 24.66W,POLE,1,100,146,N,4.0,D,N,2018AEA08808OE A,20,20115
36-160097,U,US,NY,NEW YORK,40.814297,-73.755586,40 48 51.47N,073 45 20.11W,POLE,1,80,125,N,4.0,D,N,2018AEA08814OE A,20,20115
36-160093,U,US,NY,NEW YORK,40.814347,-73.756706,40 48 51.65N,073 45 24.14W,POLE,1,100,146,N,4.0,D,N,2018AEA08810OE A,20,20115
36-160095,U,US,NY,NEW YORK,40.814494,-73.756022,40 48 52.18N,073 45 21.68W,POLE,1,80,124,N,4.0,D,N,2018AEA08812OE A,20,20115
36-029933,U,US,NY,NEW YORK,40.815278,-73.950556,40 48 55.00N,073 57 02.00W,BLDG,1,175,292,N,4.0,D,N,2011AEA04137OE A,20,16237
36-198046,U,US,NY,NEW YORK,40.815528,-73.958731,40 48 55.90N,073 57 31.43W,BLDG,1,468,497,R,1.0,A,N,2020AEA10062OE A,20,22342
36-173513,U,US,NY,NEW YORK,40.816556,-73.915667,40 48 59.60N,073 54 56.40W,BLDG,1,174,195,N,4.0,D,N,2020AEA02300OE A,20,21126
36-022746,O,US,NY,NEW YORK,40.8166,-73.890858,40 48 59.76N,073 53 27.09W,BLDG,1,175,249,U,1.0,A,U,A,20,11035
36-173352,O,US,NY,NEW YORK,40.816706,-73.928419,40 49 00.14N,073 55 42.31W,BLDG,1,302,340,R,4.0,D,N,2021AEA00525OE C,20,21271
36-173328,O,US,NY,NEW YORK,40.817925,-73.959464,40 49 04.53N,073 57 34.07W,BLDG,1,222,238,N,1.0,A,N,2020AEA12448OE A,20,21069
36-022041,O,US,NY,NEW YORK,40.819039,-73.082144,40 49 08.54N,073 04 55.72W,T-L TWR,1,130,255,U,1.0,A,U,A,20,11033
36-025744,O,US,NY,NEW YORK,40.82,-73.945556,40 49 12.00N,073 56 44.00W,BLDG,1,85,114,N,5.0,D,N,2012AEA03069OE A,20,12230
36-025458,O,US,NY,NEW YORK,40.825953,-73.946708,40 49 33.43N,073 56 48.15W,BLDG,1,75,210,N,1.0,A,N,2016AEA11603OE C,20,17234
36-197584,U,US,NY,NEW YORK,40.831294,-73.877786,40 49 52.66N,073 52 40.03W,BLDG,1,101,159,N,4.0,D,N,2020AEA05901OE C,20,24123
36-006033,U,US,NY,NEW YORK,40.841667,-73.936944,40 50 30.00N,073 56 13.00W,TOWER,1,106,256,U,,,U,A,19,76048
36-000494,O,US,NY,NEW YORK,40.842267,-73.874722,40 50 32.16N,073 52 29.00W,TOWER,1,310,340,D,5.0,D,N,2004AEA00202OE C,20,6093
36-000871,O,US,NY,NEW YORK,40.8426,-73.9425,40 50 33.36N,073 56 33.00W,BLDG,1,344,519,N,5.0,D,N,2010AEA01958OE C,20,12102
36-006035,U,US,NY,NEW YORK,40.858333,-73.903611,40 51 30.00N,073 54 13.00W,TOWER,1,100,250,U,,,U,A,19,76048
36-000263,O,US,NY,NEW YORK,40.859722,-73.785278,40 51 35.00N,073 47 07.00W,TOWER,1,529,549,R,1.0,D,M,0067_NY00375OE C,20,6323
36-002667,O,US,NY,NEW YORK,40.859722,-73.786411,40 51 35.00N,073 47 11.08W,TOWER,1,307,327,R,5.0,D,P,2001AEA04637OE C,20,9267
36-226700,O,US,NY,NEW YORK,40.863261,-73.917647,40 51 47.74N,073 55 03.53W,BLDG,1,219,231,R,2.0,D,N,2023AEA14708OE A,20,24109
36-001782,O,US,NY,NEW YORK,40.865544,-72.863883,40 51 55.96N,072 51 49.98W,TOWER,1,131,213,N,2.0,C,N,1991AEA01872OE C,20,12338
36-173263,O,US,NY,NEW YORK,40.875803,-73.888675,40 52 32.89N,073 53 19.23W,TOWER,1,299,429,D,2.0,C,N,2020AEA04791OE A,20,21021
